Date,Close,High,Low,Open,Volume
2025-10-01,2798.045166015625,2808.222762784315,2752.342557318892,2775.7699233020426,1952902
2025-10-03,2786.235107421875,2807.454332770607,2775.8657645822723,2807.454332770607,2899519
2025-10-06,2869.28759765625,2874.2805224330996,2780.18662812204,2786.331441741774,2112774
2025-10-07,2855.17333984375,2884.7457512248284,2837.6988077034384,2875.624405031906,3062943
2025-10-08,2906.54150390625,2921.711792761769,2849.7011504820675,2856.422143761506,4121889
2025-10-09,2939.666015625,2943.794672125363,2899.628150625765,2913.070135429991,3211304
2025-10-10,2907.59716796875,2947.635030127983,2887.049994865423,2928.432196055488,8817365
2025-10-13,2887.338134765625,2914.510192335436,2878.6968592818434,2906.348987711864,2866865
2025-10-14,2842.3076171875,2906.541005318549,2837.6988899902512,2900.588173459837,3611416
2025-10-15,2862.064208984375,2871.6049712258155,2843.946172081733,2863.2206293645645,4282226
2025-10-16,2862.931396484375,2867.0754517571395,2836.332787245134,2862.160371154854,3251495
2025-10-17,2854.73974609375,2880.374867719902,2848.1863837329993,2862.2568312933195,4374683
2025-10-20,2905.81689453125,2913.333979311689,2870.4483153754104,2877.1943748710046,3133039
2025-10-21,2897.625244140625,2921.814780103732,2887.313457420898,2921.140221212513,310644
2025-10-23,2961.713134765625,2985.613509464342,2925.959156761946,2944.1734252464703,5564758
2025-10-24,2952.07568359375,2977.9035021252716,2947.3535359078196,2968.2662739630537,2684318
2025-10-27,2972.98828125,2981.9509500743798,2949.184375870237,2955.2558763824863,1946312
2025-10-28,2946.968017578125,2978.096312781555,2929.9101701396817,2964.4114953280427,3470737
2025-10-29,2946.67919921875,2964.4116062609737,2935.5963859963827,2946.9681278582934,2895420
2025-10-30,2925.187744140625,2952.653842834952,2922.778437237614,2938.487165302022,2241536
2025-10-31,2947.064208984375,2956.1231088421955,2915.357824198127,2924.898585437403,1868085
2025-11-03,2907.35888671875,2947.0642176101555,2900.805524854993,2936.3668007969727,2194877
2025-11-04,2881.723876953125,2919.4055326440953,2868.039060214524,2910.0574685167057,2670720
2025-11-06,2901.6728515625,2914.2977142131544,2881.531139384038,2881.627605776501,2542721
2025-11-07,2883.265869140625,2895.023240036059,2853.1012989769483,2892.1320716871546,1830520
2025-11-10,2915.4541015625,2937.3305615709287,2883.4585523829414,2884.422275161144,1556656
2025-11-11,2936.46337890625,2944.847720230334,2908.5154176367123,2934.5359333014544,2806868
2025-11-12,3018.18701171875,3022.619995280987,2946.1969680097523,2948.991669923252,4460315
2025-11-13,2993.033935546875,3018.2834265472866,2989.4682081451956,3018.1871954349617,1740435
2025-11-14,2993.322998046875,3000.1655239975616,2965.6642009169345,2977.9034333434784,2210794
2025-11-17,2989.660888671875,3010.188231818854,2974.626953832486,2993.323082448971,2232853
2025-11-18,2975.10888671875,2992.3594315179676,2966.338914722159,2989.4682629851,2548350
2025-11-19,3033.510009765625,3040.545232796858,2971.639057156612,2984.6493140956795,3151053
2025-11-20,3030.715576171875,3049.7008686990343,3024.2586803244717,3033.79944214396,2700767
2025-11-21,3036.30517578125,3055.0013041600305,3021.463703354114,3030.715536432949,4177037
2025-11-24,3027.24609375,3063.578397230728,3017.4161679823073,3043.4366842823783,6703764
2025-11-25,3006.044189453125,3035.534202019235,3001.996600643867,3031.1974493056246,2737920
2025-11-26,3048.158935546875,3062.711244826224,3003.9241504478728,3005.658898650244,2508527
2025-11-27,3022.81298828125,3064.6384631299097,3011.6337098367826,3064.6384631299097,2836233
2025-11-28,3023.68017578125,3033.12470593688,3011.6336412163846,3026.089482694223,1616690
2025-12-01,3019.72900390625,3039.581788202742,3008.935355329588,3024.0657566161144,1747647
2025-12-02,3021.945556640625,3029.9445029896465,3007.200550647543,3017.4161065078188,2512003
2025-12-03,3064.638427734375,3095.3810901757683,3025.125793917674,3026.089516693691,3952112
2025-12-04,3112.053466796875,3132.0989471151875,3071.769808666434,3078.13047294951,5025905
2025-12-05,3120.72705078125,3152.915532717371,3105.5001838412545,3112.824571063191,5244013
2025-12-08,3119.088623046875,3141.639640868843,3092.200852929616,3125.3528208067405,2544725
2025-12-09,3091.912109375,3116.3905759892023,3065.7951256660695,3112.8248484517812,2734893
2025-12-10,3073.5048828125,3108.0062080861744,3062.807700289892,3108.0062080861744,1386849
2025-12-11,3076.10693359375,3092.0083609433445,3038.714674477584,3088.73179730002,1914362
2025-12-12,3103.669189453125,3106.078496384854,3070.131589906683,3081.696263178982,1146554
2025-12-15,3113.017333984375,3120.727116365754,3081.31094805451,3094.610369719165,1562190
2025-12-16,3088.828125,3103.187500999765,3075.3360054304358,3103.187500999765,1734623
2025-12-17,3101.067138671875,3119.474102184826,3084.394687896739,3084.394687896739,1376350
2025-12-18,3161.78173828125,3168.5277977297296,3104.1510690788923,3110.897128527372,2307422
2025-12-19,3162.938232421875,3197.5357868591873,3159.854366515901,3179.3215200364916,3902511
2025-12-22,3204.281982421875,3207.8479451634685,3171.6118722000997,3189.9226061933546,2632816
2025-12-23,3189.92236328125,3199.4631245744913,3174.0209376032617,3199.4631245744913,2365420
2025-12-24,3198.595947265625,3206.4021959958864,3176.5267894381177,3184.236571775606,1367708
2025-12-26,3161.0107421875,3199.5596536775915,3153.108262388808,3192.910060559104,1176664
2025-12-29,3133.544677734375,3168.7205598617948,3125.2565675579217,3161.010777477703,2079473
2025-12-30,3129.01513671875,3148.9641510011397,3121.9799134409154,3132.099002526,2807593
2025-12-31,3089.887939453125,3128.2441532690227,3082.4673210816295,3122.461816571668,3362634
2026-01-01,3110.31884765625,3116.775978595714,3082.1781891606697,3098.368779137981,1255735
