Date,Close,High,Low,Open,Volume
2025-10-01,5710.0,5749.5,5675.0,5692.5,721666
2025-10-03,5866.0,5932.0,5746.0,5759.5,655087
2025-10-06,5826.5,5898.0,5802.5,5885.0,196219
2025-10-07,6104.5,6120.0,5831.5,5860.0,1024126
2025-10-08,6120.5,6267.5,6104.0,6115.0,874932
2025-10-09,6132.0,6218.5,6123.5,6149.0,336390
2025-10-10,6474.5,6507.5,6110.0,6132.5,1651908
2025-10-13,6556.0,6620.0,6439.5,6465.5,905107
2025-10-14,6561.0,6585.0,6495.0,6570.0,321275
2025-10-15,6573.0,6608.5,6527.0,6580.0,462127
2025-10-16,6600.5,6632.5,6538.5,6573.0,335444
2025-10-17,6621.5,6647.0,6556.5,6580.0,302575
2025-10-20,6604.0,6669.0,6570.5,6645.0,368513
2025-10-21,6587.0,6657.0,6553.0,6648.0,32977
2025-10-23,6565.5,6627.5,6548.5,6600.0,286780
2025-10-24,6593.0,6675.0,6535.0,6564.0,250640
2025-10-27,6490.0,6610.0,6468.5,6610.0,342190
2025-10-28,6438.5,6514.5,6383.0,6495.0,305957
2025-10-29,6512.0,6538.5,6450.0,6450.0,325673
2025-10-30,6655.0,6695.0,6536.5,6545.0,537064
2025-10-31,6738.0,6775.0,6608.5,6642.0,507645
2025-11-03,6804.0,6861.5,6732.0,6738.0,499591
2025-11-04,6804.5,6866.0,6757.0,6803.0,801413
2025-11-06,6883.5,6904.5,6764.0,6792.5,721954
2025-11-07,6656.5,6892.0,6601.5,6874.5,855609
2025-11-10,6691.5,6748.0,6636.5,6700.0,418569
2025-11-11,6539.5,6725.0,6489.0,6711.0,388972
2025-11-12,6520.0,6574.5,6481.0,6570.5,476290
2025-11-13,6593.5,6645.0,6473.0,6525.5,397401
2025-11-14,6511.5,6632.0,6481.0,6584.0,147365
2025-11-17,6518.5,6559.0,6476.0,6528.0,242726
2025-11-18,6473.5,6552.0,6456.0,6485.0,162830
2025-11-19,6454.0,6512.0,6434.0,6510.0,128134
2025-11-20,6462.5,6497.5,6433.0,6495.0,114162
2025-11-21,6373.0,6462.0,6355.5,6462.0,130843
2025-11-24,6359.0,6382.5,6322.0,6364.0,393803
